total_trades,win_rate,profit_factor,total_return,sharpe,avg_win,avg_loss,symbol,fast_ema,slow_ema,breakout_period,use_volume,volume_threshold,take_profit,stop_loss,trailing_stop
87,0.4482758620689655,1.853392070934182,1.5578318023838524,4.263578425903246,0.05708990504403148,0.02502738010792042,ETH/USD,5,13,10,True,1.5,0.06,0.02,0.035
77,0.4805194805194805,1.9249301512348411,1.4513721398036588,4.214738898871554,0.055561968110576336,0.026699576849224048,ETH/USD,9,21,20,False,1.0,0.08,0.025,0.04
84,0.44047619047619047,1.86622477730074,1.4309310083279434,4.232788551225214,0.05641500065501209,0.02379767408860696,ETH/USD,9,21,10,True,1.5,0.06,0.02,0.035
78,0.47435897435897434,1.869403574831157,1.390070545460132,4.04790425901596,0.05600817036291413,0.027037478316984546,ETH/USD,5,13,20,False,1.0,0.08,0.025,0.04
81,0.43209876543209874,1.8666426699840657,1.3251580507780774,4.243998387456261,0.05652979884444676,0.023042333790091685,ETH/USD,12,26,10,True,1.5,0.06,0.02,0.035
78,0.47435897435897434,1.8895871077927386,1.1966601317681211,4.48576576039402,0.04861581011458762,0.023218196223300035,ETH/USD,5,13,30,True,1.5,0.05,0.02,0.03
78,0.47435897435897434,1.8895871077927386,1.1966601317681211,4.48576576039402,0.04861581011458762,0.023218196223300035,ETH/USD,9,21,30,True,1.5,0.05,0.02,0.03
84,0.42857142857142855,1.7332591442445962,1.1670567059646824,3.7316575406991497,0.05597415722460069,0.02422062393719369,ETH/USD,9,21,15,True,1.5,0.06,0.02,0.035
86,0.4186046511627907,1.7009645741458148,1.1649412161181296,3.6269919157110917,0.05758754082948251,0.0243761863283068,ETH/USD,5,13,15,True,1.5,0.06,0.02,0.035
79,0.43037974683544306,1.789475230812793,1.1553655611846196,3.964843371666237,0.05606639986487688,0.0236724594833683,ETH/USD,12,26,15,True,1.5,0.06,0.02,0.035
75,0.4533333333333333,1.8400607708158447,1.138677016855121,4.142804563562457,0.05340493440954124,0.024068237028393367,ETH/USD,5,13,30,True,1.5,0.06,0.02,0.035
75,0.4533333333333333,1.8400607708158447,1.138677016855121,4.142804563562457,0.05340493440954124,0.024068237028393367,ETH/USD,9,21,30,True,1.5,0.06,0.02,0.035
94,0.4148936170212766,1.5937177115988597,1.099818419910766,3.219735347424236,0.057207568621510385,0.025453294862370024,ETH/USD,5,13,10,True,1.2,0.06,0.02,0.035
104,0.375,1.5521967273838841,1.0925505547591832,2.962394333851951,0.060089541058656055,0.02322754841518033,ETH/USD,9,21,20,False,1.0,0.06,0.02,0.035
83,0.43373493975903615,1.6987762120796517,1.0792123048240831,3.5976650769549785,0.05465736843632934,0.024644339895430523,ETH/USD,5,13,20,True,1.5,0.06,0.02,0.035
84,0.42857142857142855,1.6252943050945163,1.071066036579974,3.1853797005957,0.05980318047703506,0.02759646989298223,ETH/USD,9,21,15,False,1.0,0.08,0.025,0.04
77,0.4675324675324675,1.8276556665883124,1.0641170452092226,4.224154091687645,0.048008268165824756,0.023064301491222426,ETH/USD,12,26,30,True,1.5,0.05,0.02,0.03
73,0.4520547945205479,1.8275707580497842,1.0548157062946621,4.091456350839747,0.05253968397616893,0.02371740688529807,ETH/USD,12,26,30,True,1.5,0.06,0.02,0.035
83,0.43373493975903615,1.6876336423235576,1.0541904357252818,3.5573731805510227,0.05429886121439175,0.024644339895430523,ETH/USD,9,21,20,True,1.5,0.06,0.02,0.035
78,0.4358974358974359,1.7482561618983288,1.0527198424515745,3.8109041224475466,0.054250900557531394,0.023978837509315565,ETH/USD,12,26,20,True,1.5,0.06,0.02,0.035
82,0.45121951219512196,1.7457895346329093,1.0195144739473148,3.88898026493566,0.04829615860943796,0.022746255530165568,ETH/USD,12,26,20,True,1.5,0.05,0.02,0.03
91,0.4065934065934066,1.601698786774923,1.0185423638219042,3.197565756291726,0.05653902442586822,0.024186633742435418,ETH/USD,9,21,10,True,1.2,0.06,0.02,0.035
79,0.43037974683544306,1.7059264077283824,1.0134566945353118,3.6434488208938407,0.054878459205896235,0.02430569369551941,ETH/USD,5,13,30,True,1.2,0.06,0.02,0.035
79,0.43037974683544306,1.7059264077283824,1.0134566945353118,3.6434488208938407,0.054878459205896235,0.02430569369551941,ETH/USD,9,21,30,True,1.2,0.06,0.02,0.035
94,0.44680851063829785,1.6264800180147518,1.0076705851780483,3.409073819160199,0.04730453604511259,0.023490918707520455,ETH/USD,9,21,10,True,1.5,0.05,0.02,0.03
91,0.38461538461538464,1.5979811328057012,1.0046165178053064,3.163053641708225,0.05949460900411218,0.02326944283896707,ETH/USD,5,13,30,False,1.0,0.06,0.02,0.035
91,0.38461538461538464,1.5979811328057012,1.0046165178053064,3.163053641708225,0.05949460900411218,0.02326944283896707,ETH/USD,9,21,30,False,1.0,0.06,0.02,0.035
83,0.4578313253012048,1.716466915865436,0.9996706154261781,3.7929481718633435,0.04754917845003964,0.023392609090743047,ETH/USD,5,13,30,True,1.2,0.05,0.02,0.03
83,0.4578313253012048,1.716466915865436,0.9996706154261781,3.7929481718633435,0.04754917845003964,0.023392609090743047,ETH/USD,9,21,30,True,1.2,0.05,0.02,0.03
76,0.4342105263157895,1.7367922423681157,0.9913094401913728,3.7600696852605,0.054057861039080134,0.023886717384245033,ETH/USD,12,26,30,True,1.2,0.06,0.02,0.035
91,0.4065934065934066,1.5377486610188305,0.9804589872232191,2.8185295198906557,0.06106503354510949,0.027209164526421286,ETH/USD,5,13,10,False,1.0,0.08,0.025,0.04
107,0.3644859813084112,1.4920410893784364,0.9789943358615044,2.6921109338534026,0.06067068250866587,0.023321355623694032,ETH/USD,5,13,20,False,1.0,0.06,0.02,0.035
99,0.43434343434343436,1.5501382687887604,0.9769078887483763,3.1329062937097345,0.04954349933549788,0.024541249392304527,ETH/USD,5,13,10,True,1.5,0.05,0.02,0.03
65,0.47692307692307695,1.8844092149103564,0.9644711186263627,3.914491364135097,0.05126046182738192,0.02480219239623057,ETH/USD,12,26,10,True,1.5,0.08,0.025,0.04
88,0.4318181818181818,1.6668657424957511,0.9643872994569974,3.545827880007729,0.048546920971296856,0.022134752066439844,ETH/USD,12,26,10,True,1.5,0.05,0.02,0.03
68,0.5147058823529411,1.8152917118188687,0.9515999837729061,3.770263004102398,0.04709279194380867,0.027514531257578665,ETH/USD,5,13,30,False,1.0,0.08,0.025,0.04
68,0.5147058823529411,1.8152917118188687,0.9515999837729061,3.770263004102398,0.04709279194380867,0.027514531257578665,ETH/USD,9,21,30,False,1.0,0.08,0.025,0.04
67,0.5223880597014925,1.8398521206881882,0.9512886263142908,3.8228038821243597,0.046256994243026595,0.02749872497056233,ETH/USD,12,26,30,False,1.0,0.08,0.025,0.04
88,0.3977272727272727,1.5991788252735302,0.9455013077230695,3.1914459905586705,0.056660909687923255,0.023397997320895755,ETH/USD,12,26,10,True,1.2,0.06,0.02,0.035
90,0.4444444444444444,1.6003723982894122,0.9263845328115836,3.3193991183898572,0.04815001490099956,0.024069405322144067,ETH/USD,9,21,20,True,1.5,0.05,0.02,0.03
111,0.35135135135135137,1.4482757324720732,0.9060095514368827,2.486774339471627,0.06174818511055401,0.023094313362869965,ETH/USD,9,21,15,False,1.0,0.06,0.02,0.035
76,0.39473684210526316,1.6672785780807124,0.8911203326924122,3.4885115353471883,0.058728199863059695,0.022972165788143994,ETH/USD,20,50,10,True,1.5,0.06,0.02,0.035
66,0.42424242424242425,1.796584831453715,0.881094557874163,3.972282896590152,0.05561117943971722,0.0228080844372776,ETH/USD,20,50,30,True,1.5,0.06,0.02,0.035
82,0.45121951219512196,1.6594529951199903,0.8790135726562618,3.535515254188527,0.04692922867112041,0.023252393890405672,ETH/USD,12,26,30,True,1.2,0.05,0.02,0.03
